Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Population,Latitude,Longitude,Elevation (m),Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,City Generator Link
488,Malsckental,Eschb,Eschb Earldom,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,7056,26.03,105.73,36,,,,,,,,https://watabou.github.io/city-generator?name=Malsckental&population=7056&size=27&seed=6656582340488&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
489,Eiburg,Eiburg,Eiburg Earldom,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,23338,14.83,127.57,144,,,citadel,walls,plaza,temple,,https://watabou.github.io/city-generator?name=Eiburg&population=23338&size=43&seed=6656582340489&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1
490,Sorio,Vilepia,Vilepia Landgrave,Castricia,Castrician Empire,Tallian,Tallian Gods,1741,14.53,-28.18,400,,,,,,,,https://watabou.github.io/city-generator?name=Sorio&population=1741&size=16&seed=6656582340490&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
491,Scandolico,Itusia,Itusia Landgrave,Castricia,Castrician Empire,Tallian,Tallian Gods,11972,3.82,-49.47,256,,,citadel,walls,plaza,,,https://watabou.github.io/city-generator?name=Scandolico&population=11972&size=33&seed=6656582340491&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
492,Cafanhalmei,Cagueiresia,Cagueiresia County,Karlstat,Karlstatian Empire,Portuzian,Portuzian Beliefs,13874,-3.25,105.21,1089,,,citadel,,,,,https://watabou.github.io/city-generator?name=Cafanhalmei&population=13874&size=35&seed=6656582340492&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
493,Fornauhau,Waldsfeld,Waldsfeld County,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,4175,-10.66,114.41,400,,,citadel,walls,,,,https://watabou.github.io/city-generator?name=Fornauhau&population=4175&size=22&seed=6656582340493&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
494,Lolibaresi,Coriosia,Coriosia Parish,Candejia,Divine Grand Duchy of Candejia,Astellian,Pelosian Gods,22501,-14.66,-36.72,1024,,,citadel,walls,,temple,,https://watabou.github.io/city-generator?name=Lolibaresi&population=22501&size=42&seed=6656582340494&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1
495,Feins,Ceauviles,Ceauviles Province,Chueles,Chuelesian Oligarchy,Luari,Luari Shamanism,1873,-17.82,39.59,16,,,,,,,,https://watabou.github.io/city-generator?name=Feins&population=1873&size=16&seed=6656582340495&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
496,Cerrico,Cerrico,Cerrico Captaincy,Anzia,Grand Duchy of Anzia,Astellian,Astellian Spirits,13879,-23.41,-14.62,36,,,,walls,plaza,,,https://watabou.github.io/city-generator?name=Cerrico&population=13879&size=35&seed=6656582340496&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
497,Onetshin,Droka,Droka Canton,Modets,United Provinces of Modets,Slovan,Slovan Spirits,2138,-43.4,-76.93,81,,,citadel,,,,,https://watabou.github.io/city-generator?name=Onetshin&population=2138&size=17&seed=6656582340497&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
498,Eschb,Eschb,Eschb Earldom,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,13237,23.76,105.16,49,,,citadel,,,,,https://watabou.github.io/city-generator?name=Eschb&population=13237&size=34&seed=6656582340498&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
499,Bethererid,Bethererid,Bethererid Parish,Chichet,Chichetian Theocracy,Angshire,Angshire Spirits,8326,19.22,-128.68,9,,,citadel,walls,,temple,,https://watabou.github.io/city-generator?name=Bethererid&population=8326&size=29&seed=6656582340499&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1
500,Baiersbhau,Baiersbhau,Baiersbhau Earldom,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,11696,15.94,111.3,25,,,,,,,,https://watabou.github.io/city-generator?name=Baiersbhau&population=11696&size=33&seed=6656582340500&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
501,Fisch,Neutengen,Neutengen Earldom,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,7485,3.18,127.3,25,,,citadel,walls,,,,https://watabou.github.io/city-generator?name=Fisch&population=7485&size=28&seed=6656582340501&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
502,Sebes,Cozas,Cozas Earldom,Torta,Kingdom of Torta,Astellian,Astellian Spirits,19817,-7.13,-65.52,289,,,citadel,,plaza,,,https://watabou.github.io/city-generator?name=Sebes&population=19817&size=40&seed=6656582340502&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
503,Santa,Santa,Santa County,Torta,Kingdom of Torta,Astellian,Astellian Spirits,22399,-12.22,-54.7,169,,,citadel,walls,plaza,,,https://watabou.github.io/city-generator?name=Santa&population=22399&size=42&seed=6656582340503&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
504,Palcotecor,Huertillas,Huertillas County,Anzia,Grand Duchy of Anzia,Astellian,Astellian Spirits,1727,-13,-23.53,324,,,,walls,plaza,,,https://watabou.github.io/city-generator?name=Palcotecor&population=1727&size=16&seed=6656582340504&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
505,Quejarmo,Chepes,Chepes Territory,Alcoria,Grand Duchy of Alcoria,Astellian,Astellian Spirits,1840,-36.17,-15.76,36,,,citadel,,,,,https://watabou.github.io/city-generator?name=Quejarmo&population=1840&size=16&seed=6656582340505&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
506,Taganzonsa,Talidia,Talidia Landgrave,Alcoria,Grand Duchy of Alcoria,Astellian,Astellian Spirits,6900,-37.35,-22.49,36,,port,citadel,,,,,https://watabou.github.io/city-generator?name=Taganzonsa&population=6900&size=27&seed=6656582340506&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=1.26
507,Mikka,Kumara,Kumara Territory,Torvia,Torvian Empire,Soumi,Soumi Deities,15702,46.26,-84.27,121,,,citadel,,,,,https://watabou.github.io/city-generator?name=Mikka&population=15702&size=37&seed=6656582340507&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
508,Bellapo,Vaikmaa,Vaikmaa Land,Castricia,Castrician Empire,Tallian,Tallian Gods,1844,37.14,-24.63,225,,,,,,,,https://watabou.github.io/city-generator?name=Bellapo&population=1844&size=16&seed=6656582340508&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
509,Borgdageid,Borgdageid,Borgdageid County,Flostia,Principality of Flostia,Norse,Norse Ancestors,12165,31.18,-114.9,196,,,,walls,,,,https://watabou.github.io/city-generator?name=Borgdageid&population=12165&size=33&seed=6656582340509&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
510,Apetimbu,Bareitia,Bareitia Shire,Ardon,Kingdom of Ardon,Portuzian,Portuzian Beliefs,9803,14.77,91.01,16,,,,,,,,https://watabou.github.io/city-generator?name=Apetimbu&population=9803&size=31&seed=6656582340510&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
511,Menero,Cofanelia,Cofanelia Landgrave,Castricia,Castrician Empire,Tallian,Tallian Gods,12463,3.31,-39.62,9,,,citadel,walls,plaza,,,https://watabou.github.io/city-generator?name=Menero&population=12463&size=34&seed=6656582340511&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
512,Checy,Huis,Huis Landgrave,Chaus,Grand Duchy of Chaus,Luari,Luari Shamanism,9334,-14.62,32.59,49,,,,,,,,https://watabou.github.io/city-generator?name=Checy&population=9334&size=30&seed=6656582340512&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
513,Steisach,Steisach,Steisach County,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,30130,-18.56,102.21,36,,,citadel,walls,plaza,,shanty town,https://watabou.github.io/city-generator?name=Steisach&population=30130&size=47&seed=6656582340513&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=1&gates=-1
514,Araberechi,Caresia,Caresia Canton,Chueles,Chuelesian Oligarchy,Portuzian,Portuzian Beliefs,20142,-22.11,62.65,25,,port,citadel,,,,,https://watabou.github.io/city-generator?name=Araberechi&population=20142&size=40&seed=6656582340514&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=1.74
515,Torreal,Dugejos,Dugejos Margrave,Tanilmia,Duchy of Tanilmia,Astellian,Astellian Spirits,16149,-30.26,-40.32,484,,,citadel,,plaza,,,https://watabou.github.io/city-generator?name=Torreal&population=16149&size=37&seed=6656582340515&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
516,Kodino,Kodino,Kodino Province,Modets,United Provinces of Modets,Slovan,Slovan Spirits,11385,-41.56,-87.44,169,,,citadel,walls,,,,https://watabou.github.io/city-generator?name=Kodino&population=11385&size=32&seed=6656582340516&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
517,Tjargen,Ankerka,Ankerka County,Flostia,Principality of Flostia,Norse,Norse Ancestors,1737,42.16,-104.57,169,,,,,,,,https://watabou.github.io/city-generator?name=Tjargen&population=1737&size=16&seed=6656582340517&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
518,Haibach,Fischleria,Fischleria Earldom,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,1926,6.31,114.71,484,,,citadel,,plaza,,,https://watabou.github.io/city-generator?name=Haibach&population=1926&size=17&seed=6656582340518&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
519,Foyersdes,Escray,Escray Land,Chaus,Grand Duchy of Chaus,Luari,Luari Shamanism,2413,3.93,32.69,4,,,citadel,walls,,,,https://watabou.github.io/city-generator?name=Foyersdes&population=2413&size=18&seed=6656582340519&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
520,Liglainnes,Montcon,Montcon Prefecture,Chueles,Chuelesian Oligarchy,Luari,Luari Shamanism,9767,-12.85,51.51,36,,,,,,,,https://watabou.github.io/city-generator?name=Liglainnes&population=9767&size=31&seed=6656582340520&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
521,Uttengenburg,Schon,Schon Earldom,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,1824,-22.78,104.31,25,,,citadel,,,,,https://watabou.github.io/city-generator?name=Uttengenburg&population=1824&size=16&seed=6656582340521&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
522,Thorstad,Ankerka,Ankerka County,Flostia,Principality of Flostia,Norse,Norse Ancestors,1783,38.7,-105.05,169,,,citadel,,,,,https://watabou.github.io/city-generator?name=Thorstad&population=1783&size=16&seed=6656582340522&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
523,Laudirnes,Hoyavland,Hoyavland Region,Flostia,Principality of Flostia,Norse,Norse Ancestors,1895,36.25,-112.05,16,,,citadel,,,,,https://watabou.github.io/city-generator?name=Laudirnes&population=1895&size=17&seed=6656582340523&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
524,Hodoyrika,Tropenia,Tropenia Land,Chichet,Chichetian Theocracy,Norse,Norse Ancestors,4429,34.38,-117.69,441,,,citadel,,,temple,,https://watabou.github.io/city-generator?name=Hodoyrika&population=4429&size=23&seed=6656582340524&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
525,Schoperesch,Karlstat,Karlstat Earldom,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,1877,30.44,90.7,16,,,,,,,,https://watabou.github.io/city-generator?name=Schoperesch&population=1877&size=16&seed=6656582340525&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
526,Souneuf,Barmaines,Barmaines County,Ardon,Kingdom of Ardon,Luari,Luari Shamanism,17262,14.11,67.78,81,,,,walls,plaza,,,https://watabou.github.io/city-generator?name=Souneuf&population=17262&size=38&seed=6656582340526&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
527,Cosananique,Lastesia,Lastesia County,Torta,Kingdom of Torta,Astellian,Astellian Spirits,53655,-3.33,-56.03,49,,port,citadel,walls,plaza,temple,,https://watabou.github.io/city-generator?name=Cosananique&population=53655&size=59&seed=6656582340527&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1&sea=0.3
528,Poperto,Satangui,Satangui Land,Candejia,Divine Grand Duchy of Candejia,Astellian,Pelosian Gods,4034,-20.72,-46.95,1089,,,,,,temple,,https://watabou.github.io/city-generator?name=Poperto&population=4034&size=22&seed=6656582340528&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
529,Schon,Schon,Schon Earldom,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,18106,-21.04,103.59,49,,,citadel,,,,,https://watabou.github.io/city-generator?name=Schon&population=18106&size=39&seed=6656582340529&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
530,Honsejas,Honsejas,Honsejas County,Tanilmia,Duchy of Tanilmia,Astellian,Astellian Spirits,24441,-30.22,-46.66,324,,,citadel,walls,plaza,,shanty town,https://watabou.github.io/city-generator?name=Honsejas&population=24441&size=43&seed=6656582340530&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=1&gates=-1
531,Cambrid,Cambrid,Cambrid Canton,Modets,United Provinces of Modets,Angshire,Old Angshire Beliefs,11517,-31.68,-99.71,256,,,citadel,walls,plaza,,,https://watabou.github.io/city-generator?name=Cambrid&population=11517&size=33&seed=6656582340531&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
532,Tertuelos,Uperiobia,Uperiobia Deanery,Luzboria,Exarchate of Luzboria,Astellian,Horchecilian Religion,3381,-42.08,-50.9,361,,,,walls,,temple,,https://watabou.github.io/city-generator?name=Tertuelos&population=3381&size=21&seed=6656582340532&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1
533,Hovund,Laupsia,Laupsia County,Flostia,Principality of Flostia,Norse,Norse Ancestors,1898,36.1,-115.33,49,,,,,,,,https://watabou.github.io/city-generator?name=Hovund&population=1898&size=17&seed=6656582340533&river=1&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
534,Chuelles,Ligny,Ligny County,Ardon,Kingdom of Ardon,Luari,Luari Shamanism,3985,35.76,65.09,81,,,,,,,,https://watabou.github.io/city-generator?name=Chuelles&population=3985&size=22&seed=6656582340534&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
535,Thingenney,Thingenney,Thingenney County,Flostia,Principality of Flostia,Norse,Norse Ancestors,14881,34.86,-87.97,441,,,,,,,,https://watabou.github.io/city-generator?name=Thingenney&population=14881&size=36&seed=6656582340535&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
536,Citri,Citri,Citri Landgrave,Castricia,Castrician Empire,Tallian,Tallian Gods,27623,9.33,-53.09,256,,,citadel,,plaza,,,https://watabou.github.io/city-generator?name=Citri&population=27623&size=46&seed=6656582340536&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
537,Yunclercio,Miruesia,Miruesia Deanery,Candejia,Divine Grand Duchy of Candejia,Astellian,Pelosian Gods,10346,-8.04,-34.92,121,,,citadel,walls,plaza,temple,,https://watabou.github.io/city-generator?name=Yunclercio&population=10346&size=31&seed=6656582340537&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1
538,Cevilmad,Cevilmad,Cevilmad County,Torta,Kingdom of Torta,Astellian,Astellian Spirits,29131,-8.68,-58.07,81,,,,walls,,temple,,https://watabou.github.io/city-generator?name=Cevilmad&population=29131&size=46&seed=6656582340538&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1
539,Guninlingen,Guninlingen,Guninlingen Earldom,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,26220,-8.4,111.43,400,,,,walls,plaza,temple,,https://watabou.github.io/city-generator?name=Guninlingen&population=26220&size=45&seed=6656582340539&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1
540,Lenzlin,Wildbad,Wildbad County,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,6646,-16.89,130.11,25,,,,,plaza,,,https://watabou.github.io/city-generator?name=Lenzlin&population=6646&size=27&seed=6656582340540&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
541,Sarmalvez,Nurilaga,Nurilaga Region,Anzia,Grand Duchy of Anzia,Astellian,Astellian Spirits,4058,-17.63,-22.33,169,,,citadel,,,,,https://watabou.github.io/city-generator?name=Sarmalvez&population=4058&size=22&seed=6656582340541&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
542,Bauville,Ouzonne,Ouzonne County,Ardon,Kingdom of Ardon,Luari,Luari Shamanism,4497,21.84,46.55,16,,port,citadel,,,,,https://watabou.github.io/city-generator?name=Bauville&population=4497&size=23&seed=6656582340542&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=0.6
543,Enzheim,Enzheim,Enzheim County,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,19037,22.03,102.89,49,,,,walls,plaza,,,https://watabou.github.io/city-generator?name=Enzheim&population=19037&size=39&seed=6656582340543&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
544,Vicinio,Vilepia,Vilepia Landgrave,Castricia,Castrician Empire,Tallian,Tallian Gods,14277,16.55,-27.49,529,,,citadel,walls,plaza,,,https://watabou.github.io/city-generator?name=Vicinio&population=14277&size=35&seed=6656582340544&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
545,Grendinbach,Fischleria,Fischleria Earldom,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,21848,4.47,114.54,484,,,citadel,walls,,,,https://watabou.github.io/city-generator?name=Grendinbach&population=21848&size=42&seed=6656582340545&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
546,Curem,Curem,Curem Shire,Karlstat,Karlstatian Empire,Portuzian,Portuzian Beliefs,10162,1.94,103.16,841,,,citadel,walls,,,,https://watabou.github.io/city-generator?name=Curem&population=10162&size=31&seed=6656582340546&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
547,Lordinouvilly,Montcon,Montcon Prefecture,Chueles,Chuelesian Oligarchy,Luari,Luari Shamanism,1958,-8.88,54.89,49,,,citadel,,plaza,,,https://watabou.github.io/city-generator?name=Lordinouvilly&population=1958&size=17&seed=6656582340547&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
548,Ebronbachin,Ebronbachin,Ebronbachin Land,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,1886,-8.69,123.47,9,,,citadel,walls,,,,https://watabou.github.io/city-generator?name=Ebronbachin&population=1886&size=17&seed=6656582340548&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
549,Wabingham,Chich,Chich Province,Modets,United Provinces of Modets,Angshire,Old Angshire Beliefs,17119,-28.96,-117.5,81,,,citadel,walls,,,,https://watabou.github.io/city-generator?name=Wabingham&population=17119&size=38&seed=6656582340549&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
550,Altonterbu,Skipland,Skipland Canton,Modets,United Provinces of Modets,Angshire,Old Angshire Beliefs,6791,-34.46,-97.06,144,,,citadel,,,,,https://watabou.github.io/city-generator?name=Altonterbu&population=6791&size=27&seed=6656582340550&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
551,Illalidaga,Miquejon,Miquejon Landgrave,Alcoria,Grand Duchy of Alcoria,Astellian,Astellian Spirits,6199,-41.1,-25.88,256,,,,,,,,https://watabou.github.io/city-generator?name=Illalidaga&population=6199&size=26&seed=6656582340551&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
552,Totti,Kaunia,Kaunia County,Torvia,Torvian Empire,Soumi,Soumi Deities,18942,50.68,-60.52,4,,,citadel,walls,,,,https://watabou.github.io/city-generator?name=Totti&population=18942&size=39&seed=6656582340552&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
553,Blandge,Thatckingia,Thatckingia Parish,Chichet,Chichetian Theocracy,Angshire,Angshire Spirits,1805,-2.8,-131.33,169,,,citadel,walls,,temple,,https://watabou.github.io/city-generator?name=Blandge&population=1805&size=16&seed=6656582340553&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1
554,Villinburg,Neubergind,Neubergind County,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,1901,-5.94,117.32,81,,,,,plaza,,,https://watabou.github.io/city-generator?name=Villinburg&population=1901&size=17&seed=6656582340554&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
555,Uzontalo,Elastan,Elastan County,Anzia,Grand Duchy of Anzia,Astellian,Astellian Spirits,36030,-9.66,-27.53,49,,,,walls,plaza,temple,shanty town,https://watabou.github.io/city-generator?name=Uzontalo&population=36030&size=50&seed=6656582340555&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1
556,Bonteouzy,Piernoy,Piernoy Province,Chueles,Chuelesian Oligarchy,Luari,Luari Shamanism,2002,-9.88,47.87,81,,,,walls,,,,https://watabou.github.io/city-generator?name=Bonteouzy&population=2002&size=17&seed=6656582340556&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
557,Caies,Steisach,Steisach County,Karlstat,Karlstatian Empire,Portuzian,Portuzian Beliefs,4133,-16.49,98.28,9,,port,citadel,,,,,https://watabou.github.io/city-generator?name=Caies&population=4133&size=22&seed=6656582340557&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=0.18
558,Rench,Wienaubenia,Wienaubenia Earldom,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,13777,-16.2,117.04,49,,,,walls,plaza,,,https://watabou.github.io/city-generator?name=Rench&population=13777&size=35&seed=6656582340558&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
559,Setiranhal,Masitiras,Masitiras Earldom,Karlstat,Karlstatian Empire,Portuzian,Portuzian Beliefs,12205,-29.7,87.23,49,,,citadel,walls,plaza,,,https://watabou.github.io/city-generator?name=Setiranhal&population=12205&size=33&seed=6656582340559&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
560,Tulinech,Tulinech,Tulinech Canton,Modets,United Provinces of Modets,Slovan,Slovan Spirits,16031,-34.27,-83.55,400,,,citadel,walls,,,,https://watabou.github.io/city-generator?name=Tulinech&population=16031&size=37&seed=6656582340560&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
561,Memou,Auvilly,Auvilly Land,Ardon,Kingdom of Ardon,Luari,Luari Shamanism,1825,29.2,64.18,49,,,citadel,,,,,https://watabou.github.io/city-generator?name=Memou&population=1825&size=16&seed=6656582340561&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
562,Sisedertal,Beldenland,Beldenland County,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,1876,6.1,112.65,729,,,citadel,,,,,https://watabou.github.io/city-generator?name=Sisedertal&population=1876&size=16&seed=6656582340562&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
563,Negrega,Taria,Taria Earldom,Karlstat,Karlstatian Empire,Portuzian,Portuzian Beliefs,3922,-8.47,100.62,289,,,citadel,walls,,,,https://watabou.github.io/city-generator?name=Negrega&population=3922&size=22&seed=6656582340563&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
